episode_id,len_ori,len_ds,w2_distance,quality
28,113,57,0.06779299265356942,high
10,113,57,0.06781647754958688,high
7,113,57,0.06796232852760116,high
9,115,58,0.0680097426145645,high
24,111,56,0.06801427688094983,high
13,113,57,0.06801859993171896,high
41,117,59,0.06806330724820309,high
20,115,58,0.0681198585424015,high
0,125,63,0.06814303184769256,high
17,110,55,0.06815725382260712,high
2,112,56,0.06816472328426443,high
16,115,58,0.0682541787289564,high
27,116,58,0.06827448421679788,high
22,111,56,0.06831757230803995,high
36,115,58,0.06832021581183141,high
6,110,55,0.068342153632304,high
3,110,55,0.06840373702534083,high
4,117,59,0.06842361475887654,high
35,117,59,0.0684874744463608,high
47,113,57,0.06849251774667933,high
32,112,56,0.06850637712504194,high
42,117,59,0.06853700457696765,high
15,116,58,0.0685395886185297,high
12,110,55,0.0685428277727493,high
40,112,56,0.06859828386670862,high
14,114,57,0.06861501732919206,medium
1,114,57,0.06862135921067171,medium
43,112,56,0.0687078694964641,medium
18,114,57,0.06870972893406449,medium
31,112,56,0.06872138699147452,medium
39,114,57,0.06877518926682184,medium
29,115,58,0.06877557891166962,medium
8,116,58,0.06878725531240311,medium
34,114,57,0.0687972217595762,medium
11,114,57,0.06883620756975392,medium
19,112,56,0.06890700332443243,medium
48,116,58,0.06893172260403901,medium
23,116,58,0.06894190108888311,medium
44,116,58,0.06903958821224865,medium
25,116,58,0.06905006347440137,medium
5,110,55,0.06909437667749872,medium
45,116,58,0.06917571651134707,medium
33,112,56,0.06926758898741854,medium
21,110,55,0.06938756374722692,medium
37,122,61,0.0695848143966705,medium
30,111,56,0.06973770607091505,low
49,110,55,0.06976085480660672,low
46,110,55,0.0703318794438544,low
38,108,54,0.07077298925961573,low
26,110,55,0.0710192060508559,low
